Year,Month,Volume Horticulture  (Tonnes),Average Horticulture (Kshs. per Tonne),Annual Average Inflation ,Diaspora Remittances,Euro ex,Sterling Pound ex,US ex,CB Deposit,CB Savings,CB Overdraft ,CB Lending ,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions),date
2007,Jan,17112.39,188541.52,6.08,40930.36,90.87,136.91,69.89,4.35,1.42,14.11,13.78,307,0.020992,0.021714,0.0643905,1/1/2007
2007,Feb,18905.81,175393.06,5.55,39533.07,91.04,136.4,69.62,4.21,1.41,14.05,13.64,307,0.020992,0.021714,0.0643905,2/1/2007
2007,Mar,24796.49,148545.24,4.99,48561,91.77,134.91,69.29,4.19,1.43,13.95,13.56,307,0.020992,0.021714,0.0643905,3/1/2007
2007,Apr,22748.93,168518.27,4.69,38250.91,92.68,136.4,68.58,4.11,1.35,13.26,13.33,362,0.054944,0.07,0.220896,4/1/2007
2007,May,22885.72,168111.86,4.47,41163.5,90.82,133.31,67.19,4.14,1.57,13.35,13.38,447,0.107733,0.15,0.483709,5/1/2007
2007,Jun,16719.94,167822.41,4.46,48642.95,89.33,132.25,66.58,4.18,1.54,13.2,13.14,527,0.175652,0.233661,0.720102,6/1/2007
2007,Jul,16470.88,181701.44,4.57,53350.83,91.99,136.41,67.07,4.33,1.65,13.34,13.29,681,0.268499,0.354298,1.06537,7/1/2007
2007,Aug,38260.99,81401.34,4.6,58803.32,91.15,134.57,66.95,4.31,1.6,13.39,13.04,819,0.432555,0.516239,1.57991,8/1/2007
2007,Sep,22829.59,139736.45,4.57,60575.1,93.06,135.19,67.02,4.34,1.67,13.26,12.87,960,0.635761,0.669689,2.06969,9/1/2007
2007,Oct,25974.83,156071.12,4.48,46847.77,95.09,136.52,66.85,4.27,1.64,13.29,13.24,1196,0.875962,0.958908,2.82955,10/1/2007
2007,Nov,22410.96,174433.68,4.45,55564.09,96.13,135.79,65.49,4.33,1.65,13.43,13.39,1379,1.1332,1.22174,3.51495,11/1/2007
2007,Dec,15334.61,190398.64,4.27,41420.52,86.09,119.89,63.3,4.32,1.67,12.96,13.32,1582,1.34527,1.2741,3.77027,12/1/2007
2008,Jan,24027.9,217850.8,4.69,53925,100.16,134.01,68.08,4.37,1.72,13.41,13.78,1812,1.5891,1.34683,4.05904,1/1/2008
2008,Feb,23409.42,229842.72,5.32,50382.35,103.96,138.46,70.62,4.37,1.7,13.26,13.84,2067,1.82153,1.7399,5.21979,2/1/2008
2008,Mar,25279.87,187825.1,6.13,59344.15,100.79,130.08,64.92,4.43,1.72,13.48,14.06,2329,2.07553,2.3975,6.74745,3/1/2008
2008,Apr,28111.46,168851.28,7.32,67871.79,98.08,123.37,62.26,4.41,1.71,13.46,13.91,2606,2.37346,3.07289,8.38964,4/1/2008
2008,May,21819.85,199630.67,8.7,48537.97,96.32,121.62,61.9,4.45,1.71,13.53,14.01,2770,2.71813,4.02127,10.9042,5/1/2008
2008,Jun,19850.06,196490.75,9.86,49490,99.21,125.27,63.78,4.48,1.7,13.3,14.06,3011,3.03852,4.20144,10.9172,6/1/2008
2008,Jul,18658.66,202460.37,10.83,44136.82,105.41,132.62,66.7,4.54,1.67,13.46,13.9,3378,3.36719,5.39108,14.0171,7/1/2008
2008,Aug,15843.19,207364.39,11.92,43387.67,101.24,127.97,67.68,4.65,1.68,13.11,13.66,3761,3.72618,6.34241,16.7563,8/1/2008
